
ID	Score	Status	Time	Duration
#3101	127966	FINISHED	2021-09-18 17:49:30.748	a minute
#3073	131595	FINISHED	2021-09-18 17:47:02.446	a minute
#3039	132092	FINISHED	2021-09-18 17:44:15.205	a minute
#2994	130650	FINISHED	2021-09-18 17:40:14.518	a minute
#2943	125724	FINISHED	2021-09-18 17:35:02.726	a minute
#2910	126520	FINISHED	2021-09-18 17:31:50.006	a minute
#2900	0	FINISHED	2021-09-18 17:30:27.857	a few seconds
#2861	121571	FINISHED	2021-09-18 17:26:52.314	a minute
#2837	119652	FINISHED	2021-09-18 17:24:36.927	a minute
#2800	120215	FINISHED	2021-09-18 17:21:05.744	a minute
#2795	0	FINISHED	2021-09-18 17:20:00.346	a few seconds
#2771	0	FINISHED	2021-09-18 17:17:15.471	a few seconds
#2708	121928	FINISHED	2021-09-18 17:11:23.820	a minute
#2665	121153	FINISHED	2021-09-18 17:08:01.961	a minute
#2622	116092	FINISHED	2021-09-18 17:03:07.806	a minute
#2603	113773	FINISHED	2021-09-18 17:00:08.903	a minute
#2578	111754	FINISHED	2021-09-18 16:57:36.928	a minute
#2562	97012	FINISHED	2021-09-18 16:55:17.027	a minute
#2534	93729	FINISHED	2021-09-18 16:51:51.188	a minute
#2503	0	FINISHED	2021-09-18 16:47:59.374	a minute
#2472	86400	FINISHED	2021-09-18 16:45:10.865	a minute
#2458	89967	FINISHED	2021-09-18 16:43:14.799	a minute
#2439	86227	FINISHED	2021-09-18 16:40:51.224	a minute
#2415	86153	FINISHED	2021-09-18 16:37:40.338	a minute
#2387	83774	FINISHED	2021-09-18 16:33:14.381	a minute
#2360	85901	FINISHED	2021-09-18 16:29:33.719	a minute
#2333	84438	FINISHED	2021-09-18 16:25:29.293	a minute
#2282	0	FINISHED	2021-09-18 16:18:12.608	a minute
#2255	85942	FINISHED	2021-09-18 16:14:50.481	a minute
#2223	0	FINISHED	2021-09-18 16:10:17.309	a minute
#2192	0	FINISHED	2021-09-18 16:05:27.443	a few seconds
#2179	0	FINISHED	2021-09-18 16:03:39.611	a few seconds
#2141	84926	FINISHED	2021-09-18 15:57:56.748	a minute
#2119	90743	FINISHED	2021-09-18 15:55:31.647	a minute
#2033	0	FINISHED	2021-09-18 15:42:20.116	a minute
#2007	0	FINISHED	2021-09-18 15:39:43.415	a few seconds
#1996	90726	FINISHED	2021-09-18 15:37:55.876	a minute
#1953	88127	FINISHED	2021-09-18 15:32:39.867	a minute
#1932	89247	FINISHED	2021-09-18 15:30:23.404	a minute
#1912	87384	FINISHED	2021-09-18 15:28:21.576	a minute
#1888	83209	FINISHED	2021-09-18 15:25:25.096	a minute
#1865	79334	FINISHED	2021-09-18 15:23:04.490	a minute
#1843	0	FINISHED	2021-09-18 15:20:07.846	a minute
#1795	0	FINISHED	2021-09-18 15:14:35.672	a minute
#1792	0	FINISHED	2021-09-18 15:14:25.293	a few seconds
#1787	0	FINISHED	2021-09-18 15:13:56.955	a few seconds
#1782	0	FINISHED	2021-09-18 15:13:18.518	a few seconds
#1766	0	FINISHED	2021-09-18 15:11:30.215	a minute
#1758	0	FINISHED	2021-09-18 15:10:32.652	a few seconds
#1750	0	FINISHED	2021-09-18 15:09:33.896	a few seconds
#1735	0	FINISHED	2021-09-18 15:06:40.851	a few seconds
#1715	81961	FINISHED	2021-09-18 15:03:36.229	a minute
#1711	0	FINISHED	2021-09-18 15:03:21.150	a few seconds
#1704	0	FINISHED	2021-09-18 15:02:38.074	a few seconds
#1694	0	FINISHED	2021-09-18 15:01:44.992	a few seconds
#1667	82193	FINISHED	2021-09-18 14:59:16.993	a minute
#1656	0	FINISHED	2021-09-18 14:57:48.919	a few seconds
#1647	0	FINISHED	2021-09-18 14:56:21.222	a few seconds
#1638	0	FINISHED	2021-09-18 14:54:51.590	a few seconds
#1616	0	FINISHED	2021-09-18 14:52:38.948	a few seconds
#1593	0	FINISHED	2021-09-18 14:50:06.202	a few seconds
#1585	0	FINISHED	2021-09-18 14:49:37.079	a few seconds
